,title,spec_list,price,rate,opinion
0,로더베르 시그니처 퍼퓸 샴푸 베이비파우더 1000ml,"'일반샴푸', '세정력', '풍부한 거품', '향', '저자극', '약산성', '모발영양'","9,900원",4.8,"7,980"
1,제이숲 딥그린제이 아로마 샴푸 일랑일랑 1000ml,"'지성', '건성', '민감성', '모든 모발용', '일반샴푸', '패스트샴푸', '천연샴푸', '비듬샴푸', '산성샴푸', '두피샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '트러블케어', '각질케어', '유분제거', '청량감', '비듬케어', '손상케어', '모발영양'","14,900원",4.7,"3,307"
2,모다모다 프로체인지 블랙샴푸 300g,"'모든 모발용', '탈모샴푸', '저자극', '계면활성제 프리', '파라벤 프리', '실리콘 프리'","25,650원",4.6,"15,302"
3,에스큐제약 모나다 샴푸 1000ml,"'모든 모발용', '일반샴푸', '세정력', '모발영양'","52,300원",4.8,"1,234"
4,아모스 녹차실감 산뜻한 타입 지성 모발용 샴푸 500g,"'두피샴푸', '세정력', '상쾌함', '저자극', '촉촉함(수분공급)', '실리콘 프리', '모발영양'","13,830원",4.8,"12,955"
5,안나플러스 천연 약산성 샴푸 500ml,"'지성', '건성', '민감성', '가는 모발용', '손상 모발용', '탈모샴푸', '천연샴푸', '비듬샴푸', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '저자극', '트러블케어', '유분제거', '청량감', '계면활성제 프리', '비듬케어', '손상케어', '모발영양'","28,490원",4.6,"3,274"
6,헤드앤숄더 가려운 두피케어 샴푸 850ml,"'모든 모발용', '세정력', '비듬케어'","5,920원",4.7,"17,100"
7,아모스 퓨어스마트 샴푸 프레시 500g,"'지성', '두피샴푸', '세정력', '풍부한 거품', '촉촉함(수분공급)', '비듬케어'","9,280원",4.7,"7,159"
8,더나플러스 그린테라피 샴푸 500ml,"'모든 모발용', '탈모샴푸', '머릿결개선', '세정력', '저자극', '트러블케어', '계면활성제 프리', '파라벤 프리'","37,110원",4.9,922
9,제이숲 오리지널 실크케라틴 샴푸 손상모발용 500ml,"'지성', '건성', '민감성', '손상 모발용', '모든 모발용', '일반샴푸', '비듬샴푸', '두피샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '약산성', '모발영양'","13,900원",4.8,381
10,헤드앤숄더 쿨 멘솔 샴푸 850ml,"'모든 모발용', '일반샴푸', '촉촉함(수분공급)', '비듬케어'","5,960원",4.7,"14,044"
11,쿤달 허니 앤 마카다미아 네이처 샴푸 베이비파우더 500ml,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '저자극', '촉촉함(수분공급)', '파라벤 프리', '약산성', '손상케어', '모발영양'","7,670원",4.6,"36,393"
12,닥터모두 좋은 스칼프 샴푸 500ml,"'지성', '건성', '민감성', '건선/피부염성', '모든 모발용', '일반샴푸', '탈모샴푸', '천연샴푸', '비듬샴푸', '두피샴푸', '한방샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '트러블케어', '각질케어', '유분제거', '청량감', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '비듬케어', '약산성', '볼륨효과'","24,000원",4.9,"3,811"
13,올솔 검은콩 딥 스케일링 나이트 샴푸 로즈마리향 400ml,"'지성', '건성', '민감성', '건선/피부염성', '가는 모발용', '손상 모발용', '천연샴푸', '비듬샴푸', '두피샴푸', '한방샴푸', '퍼퓸샴푸', '저자극', '촉촉함(수분공급)', '각질케어', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '비듬케어', '약산성', '볼륨효과'","15,800원",4.6,"6,152"
14,닥터그루트 힘없는 모발용 샴푸 400ml,"'모든 모발용', '탈모샴푸', '두피샴푸', '세정력', '풍부한 거품', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '볼륨효과'","13,000원",4.7,"5,216"
15,미쟝센 퍼펙트 세럼 샴푸 오리지널 680ml,"'일반샴푸', '머릿결개선', '세정력', '향', '모발영양'","3,450원",4.8,"23,210"
16,려 자양윤모 9EX 지성 두피용 샴푸 400ml,"'지성', '탈모샴푸', '한방샴푸', '머릿결개선', '세정력', '향', '촉촉함(수분공급)', '실리콘 프리', '모발영양'","4,410원",4.8,"1,895"
17,온유어라이프 브로콜리 샴푸 250ml,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '유분제거', '실리콘 프리', '약산성', '모발영양'","25,600원",5.0,"1,388"
18,에스큐제약 두픽 지루성 두피염 가려움증 비듬샴푸 1000ml,"'모든 모발용', '비듬샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '트러블케어', '청량감', '비듬케어', '약산성', '손상케어', '모발영양'","52,300원",4.7,379
19,알페신 카페인 샴푸 C1 250ml,"'지성', '일반샴푸', '실리콘 프리'","6,460원",4.7,"10,368"
20,튠나인 해브 어 나이스 데이 샴푸 500ml,"'모든 모발용', '일반샴푸', '세정력', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '각질케어', '유분제거', '청량감', '계면활성제 프리', '실리콘 프리', '볼륨효과'","32,400원",4.9,679
21,LOMA 너리싱 샴푸 1000ml,"'손상 모발용', '모든 모발용', '천연샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '저자극', '청량감', '계면활성제 프리', '파라벤 프리', '모발영양'","44,180원",4.8,"14,082"
22,메디올 두피 청정 샴푸 480ml,"'모든 모발용', '일반샴푸', '풍부한 거품', '향', '저자극', '각질케어', '계면활성제 프리', '파라벤 프리'","11,520원",4.6,"1,809"
23,하이앙포레 프리미엄 샴푸1000ml,"'염색 모발용', '웨이브 모발용', '모든 모발용', '두피샴푸', '세정력', '촉촉함(수분공급)', '약산성'","35,000원",4.8,"5,797"
24,청미정 흑곡 샴푸 500ml,"'지성', '민감성', '천연샴푸', '두피샴푸', '세정력', '풍부한 거품', '상쾌함', '저자극', '촉촉함(수분공급)', '유분제거', '청량감'","33,000원",4.6,"16,197"
25,블라세아 비듬 지루성 두피염 샴푸 500ml,"'건선/피부염성', '비듬샴푸', '두피샴푸', '세정력', '풍부한 거품', '향', '상쾌함', '트러블케어', '각질케어', '유분제거', '청량감', '비듬케어', '모발영양'","38,000원",4.7,731
26,앙방 쿨링 멘톨 쿨 두피케어 샴푸 600ml,"'지성', '건성', '민감성', '탈모샴푸', '천연샴푸', '비듬샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '유분제거', '청량감', '비듬케어', '약산성', '손상케어', '모발영양'","21,900원",4.7,"2,179"
27,닥터포헤어 피토 테라피 두피샴푸 500ml,"'지성', '건성', '민감성', '건선/피부염성', '모든 모발용', '일반샴푸', '천연샴푸', '비듬샴푸', '산성샴푸', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '저자극', '촉촉함(수분공급)', '각질케어', '유분제거', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '비듬케어', '약산성', '손상케어', '모발영양'","13,450원",4.7,"6,852"
28,헤드앤숄더 클리니컬 스트렝스 비듬 샴푸 400ml,"'비듬샴푸', '두피샴푸', '세정력', '향', '저자극', '각질케어', '비듬케어', '모발영양'","10,290원",4.7,"4,454"
29,청미정 EM 발효 다시마 천연샴푸 500ml,"'건성', '민감성', '천연샴푸', '두피샴푸', '세정력', '풍부한 거품', '상쾌함', '촉촉함(수분공급)', '모발영양'","28,500원",4.7,"19,926"
30,비바스 더마 내추럴 시카 샴푸 500g,"'민감성', '건선/피부염성', '손상 모발용', '천연샴푸', '두피샴푸', '세정력', '풍부한 거품', '저자극', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '약산성'","9,880원",4.7,"1,364"
31,아모스 리페어 포스 손상 모발용 샴푸 500g,"'손상 모발용', '일반샴푸', '풍부한 거품', '촉촉함(수분공급)'","9,620원",4.8,"1,523"
32,닥터그루트 마이크로바이옴 캡슐 샴푸 400ml,"'가는 모발용', '손상 모발용', '모든 모발용', '일반샴푸', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '트러블케어', '손상케어', '모발영양'","21,550원",4.7,"2,716"
33,커리쉴 모이스처 카밍 샴푸 330ml,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '청량감', '파라벤 프리', '실리콘 프리', '약산성', '손상케어', '모발영양'","17,560원",4.9,831
34,미쟝센 데미지케어 로즈프로틴 샴푸 680ml,"'모든 모발용', '손상케어', '머릿결개선'","1,500원",4.8,"5,532"
35,아모스 녹차실감 샴푸 촉촉한타입 500g,"'모든 모발용', '일반샴푸', '세정력', '촉촉함(수분공급)', '실리콘 프리'","13,470원",4.8,"2,000"
36,아모스 칼라 앤 펌 샴푸 1000g,"'모든 모발용', '손상케어', '향', '상쾌함'","9,970원",4.8,"4,006"
37,르네휘테르 포티샤 에네자이징 샴푸 600ml,"'모든 모발용', '건성', '세정력'","38,980원",4.7,"6,156"
38,아베다 로즈메리 민트 샴푸 1000ml,"'가는 모발용', '일반샴푸', '촉촉함(수분공급)'","53,040원",4.8,"2,979"
39,보타랩 데저티콜라 샴푸 500ml,"'일반샴푸', '세정력', '풍부한 거품', '향', '저자극', '촉촉함(수분공급)', '약산성', '모발영양'","18,990원",4.6,"1,040"
40,비바스 오리진 아이슬란드 쿨링 샴푸 1000ml,"'모든 모발용', '일반샴푸', '비듬샴푸', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '트러블케어', '각질케어', '유분제거', '청량감', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '비듬케어', '약산성', '볼륨효과', '손상케어', '모발영양'","9,860원",4.7,556
41,RAUSCH 콜츠푸트 안티 댄드러프 샴푸 200ml,"'비듬샴푸', '두피샴푸', '세정력', '각질케어', '파라벤 프리', '실리콘 프리', '비듬케어', '약산성'","17,780원",4.8,"2,194"
42,알페신 카페인 샴푸 375ml,"'모든 모발용', '일반샴푸', '모발영양'","11,630원",4.7,"2,108"
43,니심 패스트 샴푸 300ml,"'손상 모발용', '패스트샴푸', '촉촉함(수분공급)'","30,000원",4.7,400
44,KnP 에너자이징 스칼프 샴푸 500ml,"'모든 모발용', '머릿결개선', '세정력', '저자극', '유분제거', '비듬케어'","69,000원",5.0,37
45,순수연구소 천연 약산성 노니 두피케어 샴푸 500ml,"'지성', '건성', '민감성', '탈모샴푸', '비듬샴푸', '두피샴푸'","25,980원",4.7,"3,036"
46,미르엔 네추럴 테라피 샴푸 500ml,"'모든 모발용', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '상쾌함', '저자극', '촉촉함(수분공급)', '트러블케어', '각질케어', '유분제거', '청량감', '계면활성제 프리', '볼륨효과'","29,800원",4.5,"7,951"
47,려 청아 딥클렌징 앤 쿨링 샴푸 550ml,"'모든 모발용', '일반샴푸', ', '세정력', '향', '상쾌함', '각질케어', '청량감', '실리콘 프리'","4,100원",4.8,"1,422"
48,톤28 머리 감을거리 샴푸바 S19 바오밥나무오일 100g,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '저자극', '유분제거', '약산성', '모발영양'","8,690원",4.7,"11,351"
49,댄트롤 딥 클린 박하 솔트 샴푸 820ml,"'모든 모발용', '일반샴푸', '두피샴푸', '머릿결개선', '상쾌함', '촉촉함(수분공급)', '청량감', '비듬케어', '모발영양'","3,520원",4.8,"8,427"
50,려 순한 저자극 더마 지성 샴푸 400ml,"'지성', '일반샴푸', '저자극', '유분제거', '계면활성제 프리', '실리콘 프리', '약산성'","7,400원",4.7,"12,040"
51,닥터올가 호호바 티 트리 샴푸 500ml,"'모든 모발용', '일반샴푸', '천연샴푸', '비듬샴푸', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '상쾌함', '저자극', '트러블케어', '각질케어', '유분제거', '청량감', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '비듬케어', '약산성', '손상케어'","17,780원",4.6,"11,615"
52,려 흑운 모근강화 앤 볼륨 샴푸 550ml,"'모든 모발용', '일반샴푸', '세정력', '향', '약산성', '볼륨효과', '모발영양'","4,050원",4.8,"3,462"
53,아모스 프로페셔널 퓨어스마트 쿨 샴푸 500ml,"'모든 모발용', '일반샴푸', '두피샴푸', '청량감', '향', '풍부한 거품'","9,390원",4.7,"2,838"
54,더바디샵 진저 스켈프 케어 샴푸 400ml,"'모든 모발용', '비듬샴푸', '촉촉함(수분공급)'","15,290원",4.8,"3,443"
55,밀크바오밥 세라 샴푸 화이트 머스크 1200ml,"'모든 모발용', '일반샴푸', '두피샴푸', '청량감', '향', '풍부한 거품'","10,650원",4.7,"6,490"
56,헤드앤숄더 딥 클린 샴푸 850ml,"'모든 모발용', '두피샴푸', '세정력', '트러블케어', '유분제거', '비듬케어'","6,080원",4.7,"2,896"
57,닥터그루트 지성두피용 샴푸 400ml,"'모든 모발용', '지성', '모발영양'","13,930원",4.8,"2,802"
58,블라세아 바디브 미오 샴푸 베이베리 오차드 1000ml,"'모든 모발용', '일반샴푸', '천연샴푸', '비듬샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '향', '저자극', '촉촉함(수분공급)', '각질케어', '유분제거', '비듬케어', '약산성', '모발영양'","9,800원",4.8,502
59,케라시스 러블리 앤 로맨틱 퍼퓸 샴푸 600ml,"'지성', '건성', '민감성', '가는 모발용', '염색 모발용', '웨이브 모발용', '손상 모발용', '모든 모발용', '일반샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '촉촉함(수분공급)', '유분제거', '청량감', '파라벤 프리', '약산성', '볼륨효과', '손상케어', '모발영양'","2,940원",4.7,"1,996"
60,엘라스틴 퍼퓸 러브미 샴푸 600ml,"'모든 모발용', '일반샴푸', '향'","3,500원",4.7,"10,899"
61,피부백서 비오틴 앤 로즈마리 뉴트리 샴푸 500ml,"'모든 모발용', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '상쾌함', '저자극', '각질케어', '유분제거', '청량감', '약산성'","12,500원",4.7,189
62,TS 지디 샴푸 400ml,"'모든 모발용', '풍부한 거품', '향', '저자극', '촉촉함(수분공급)', '유분제거', '비듬케어'","17,090원",4.7,"2,032"
63,미쟝센 헤어테라피 샤이닝 모이스처 샴푸 4.2kg,"'건성', '일반샴푸', '촉촉함(수분공급)', '손상케어', '모발영양'","9,970원",4.8,"1,002"
64,헤어플러스 컬러 본드 보색 샴푸 300ml,"'염색 모발용', '일반샴푸', '약산성', '손상케어'","14,920원",4.6,"3,764"
65,오가니스트 로즈마리 민트 두피 딥클렌징 샴푸 500ml,"'일반샴푸', '세정력', '상쾌함', '청량감', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '약산성'","6,040원",4.7,"1,547"
